fecha;Run Fondo;serie;mes1;mes3;mes6;y1;ytd;rent
2023-06-28;8967;APV;;;;1Y;;-0.1828795554
2023-06-28;9073;APV;;;;1Y;;
2023-06-28;9221;APV;;;;1Y;;-0.1647368034
2023-06-28;9352;APV;;;;1Y;;
2023-06-28;9365;APV;;;;1Y;;
2023-06-28;9445;APV;;;;1Y;;-0.1658435162
2023-06-28;9449;APV;;;;1Y;;
2023-06-28;8940;APV;;;;;YTD;
2023-06-28;8967;APV;;;;;YTD;-0.0611072429
2023-06-28;9073;APV;;;;;YTD;
2023-06-28;9221;APV;;;;;YTD;-0.0419195060
2023-06-28;9352;APV;;;;;YTD;
2023-06-28;9365;APV;;;;;YTD;
2023-06-28;9445;APV;;;;;YTD;-0.0439437486
2023-06-28;9449;APV;;;;;YTD;
2023-06-29;8940;APV;1M;;;;;
2023-06-29;8967;APV;1M;;;;;0.0006731881
2023-06-29;9073;APV;1M;;;;;
2023-06-29;9221;APV;1M;;;;;0.0023373513
2023-06-29;9352;APV;1M;;;;;
2023-06-29;9365;APV;1M;;;;;
2023-06-29;9445;APV;1M;;;;;0.0041543559
2023-06-29;9449;APV;1M;;;;;
2023-06-29;8940;APV;;3M;;;;
2023-06-29;8967;APV;;3M;;;;0.0132546558
2023-06-29;9073;APV;;3M;;;;
2023-06-29;9221;APV;;3M;;;;0.0248344329
2023-06-29;9352;APV;;3M;;;;
2023-06-29;9365;APV;;3M;;;;
2023-06-29;9445;APV;;3M;;;;0.0223556045
2023-06-29;9449;APV;;3M;;;;
2023-06-29;8940;APV;;;6M;;;
2023-06-29;8967;APV;;;6M;;;-0.0630049398
2023-06-29;9073;APV;;;6M;;;
2023-06-29;9221;APV;;;6M;;;-0.0442401348
2023-06-29;9352;APV;;;6M;;;
2023-06-29;9365;APV;;;6M;;;
2023-06-29;9445;APV;;;6M;;;-0.0460797777
2023-06-29;9449;APV;;;6M;;;
2023-06-29;8940;APV;;;;1Y;;
2023-06-29;8967;APV;;;;1Y;;-0.1899795896
2023-06-29;9073;APV;;;;1Y;;
2023-06-29;9221;APV;;;;1Y;;-0.1763653641
2023-06-29;9352;APV;;;;1Y;;
2023-06-29;9365;APV;;;;1Y;;
2023-06-29;9445;APV;;;;1Y;;-0.1762525397
2023-06-29;9449;APV;;;;1Y;;
