Run Fondo;serie;caracteristica;fecha_inicio;fecha_termino;valor_inicial_cuota;continuadora_serie
9365;IM;;2016-10-14;;1000.0000000000;
9365;U;;2016-09-22;;1000.0000000000;
9445;A;;;;100.0000000000;
9445;ADC;;2017-05-09;;100.0000000000;
9445;ALPAT;;2017-05-02;;100.0000000000;
9445;APV;APV;2021-03-09;;100.0000000000;
9445;BCI;;2017-04-27;;100.0000000000;
9445;BPRIV;;2017-07-06;;100.0000000000;
9445;CLASI;;2017-04-24;;100.0000000000;
9445;COLAB;;2021-03-10;;100.0000000000;
9445;FAMIL;;;;100.0000000000;
9445;I;;2017-05-02;;100.0000000000;
9449;A;;2017-07-26;;1000.0000000000;
9449;BTGP;;2017-07-10;;1000.0000000000;
9449;I;;2017-08-01;;1000.0000000000;
